pws_id,median_income
1010001,46414.8617881834
1010003,80663.4142604084
1010004,56565.2944733457
1010007,52907.5857899212
1010018,50329.7198236313
1010019,59894.6801883225
1010024,42830.7524881575
1010027,47922.7881569726
1010029,41424.8966807815
110001,132952.040230604
110003,116938.092007811
110005,117762.566925017
110006,93710.9609330781
110008,145377.51605815
110009,165061.208106272
110011,128511.416042271
1110002,46961
1110003,48812.6431640885
1210001,44269.657918549
1210004,45080.6540896763
1210006,45998.0618194447
1210009,55004.8409076653
1210013,50837.5269122851
1210016,51367.6527223656
1210021,59509
1310001,49551.4129822849
1310003,27528.4685244798
1310004,52628.1424872558
1310011,41127.5004035946
1500333,39408
1500374,81043.358955403
1500407,39107
1510001,42339.8415951253
1510003,57356.1336329417
1510005,42331.7059324218
1510006,52211.8865974365
1510012,38872.1834525228
1510015,52950.048392124
1510017,64362.7376401808
1510018,60525.8482224891
1510019,55183.4755031967
1510020,33214.6144007919
1510021,33787.4949393404
1510022,53277.8600008902
1510024,49284
1510026,30808
1510029,103626.401811722
1510031,89941.2606591727
1510032,40044.9687536845
1510033,39107
1510039,36329
1510043,39107
1510049,30808
1510055,88539.8871543783
1510056,30808
1610003,57121.7213011058
1610004,36704.564441241
1710002,29338.2128541927
1710005,29383
1810001,49523.2078253331
1910001,60934.4713642062
1910003,99769.6670813159
1910004,62183.912083329
1910007,67384.0259770761
1910009,57680.961881223
1910010,75518.3952442113
1910011,39225.2703836688
1910013,55852.9823791055
1910017,95184.2155262282
1910019,97469.0124823129
1910021,55236.8377869727
1910024,97619.2212074232
1910026,48283.8123182951
1910028,101449.984623903
1910030,90849.4607976454
1910033,62461.6936336088
1910034,68630.9126403948
1910036,43638.0314346549
1910038,39560.8702860591
1910039,67994.2340188642
1910040,30786.2961497303
1910042,60903.3490278756
1910043,99469.4311581634
1910044,98689.2970967008
1910047,51171.7314376129
1910048,95136.5032739828
1910049,40371.7166880182
1910051,56886.4165936824
1910052,87929.8113504005
1910062,104646.799610573
1910063,85081.7504849246
1910065,55168.6396358766
1910067,84385.2439492525
1910070,65930.2047994794
1910072,40504.7680924637
1910073,64222.9571008203
1910077,37683.0231409524
1910079,50336.9251334377
1910083,152745.090701113
1910090,106454.656260323
1910091,44363.1919463567
1910092,64712.7423309096
1910096,94683.6811438574
1910098,63669.9766633281
1910101,67769.3455860262
1910102,56452.9915497715
1910104,152462.870132695
1910105,48734.6034034227
1910124,103988.906510821
1910125,57812.5746066709
1910126,58279.1946937542
1910127,67510.4004137588
1910130,80806.0545608981
1910134,111176.0851095
1910139,98869.0862176259
1910140,108659.432927717
1910142,91982.4342949109
1910143,55936.4816282206
1910144,60479.4869252644
1910146,93261.9511682874
1910148,107492.072684858
1910149,75123.150013819
1910152,48161.9044568658
1910155,55113.183265738
1910156,154004.842939862
1910157,77748.0102464375
1910161,48680.5397956001
1910166,172717.135269762
1910167,68534.809796006
1910173,79722.9735663469
1910174,91289.348208608
1910179,85424.49106581
1910186,71649.0555485698
1910191,57043.7960737153
1910194,78673.6651023829
1910195,53766.3212404907
1910203,41630.8343857152
1910204,130677.524416858
1910205,76606.5721396244
1910211,62095.7377974128
1910212,65909.1557985885
1910213,82869.999351565
1910223,45489.1340994945
1910225,122875.785555552
1910234,92050.018294314
1910239,88426.7348731496
1910240,94683.6811438574
1910241,181352.296228227
1910242,79306
1910243,103806.37358152
1910245,42173.8823797362
1910247,94683.6811438574
1910250,119018.987006083
1910255,101373.198471534
2010001,45683.0238256409
2010002,49624.4653088063
2010009,61429
2110002,115809.198323271
2110003,97179.3569572488
2110006,83115.2565887761
2110007,83333
2310003,49220.2133311141
2410001,54761.4854879937
2410004,53578.490612846
2410005,51134.4522227846
2410008,49707.5381874906
2410009,51600.423923107
2610001,62308
2701202,65526
2701257,63843
2701466,127281
2701882,127281
2701929,74056
2702004,74056
2710001,64049.7157351752
2710004,100624.960924812
2710006,130137.972178323
2710008,53023.9524483286
2710009,43327.2786077665
2710010,57453.5482591548
2710011,55360.1110197572
2710012,127703.700521124
2710013,69088.5548694266
2710017,66110.8950366669
2710019,84147.5666399488
2710021,121466.402978261
2710022,122553.90589703
2810003,103829.080617684
2810005,107871.924877279
2910003,90007.4745318498
2910004,48620.2451755233
2910006,68271.8053365703
2910010,90663.7670113414
2910014,68350.9721781677
2910023,61692.8907792295
3010001,80983.56742138
