"Year","CategoryA","CategoryD","CategoryC","KAcreFt"
2003,"Agriculture","AG1","Applied Water",30163.7
2003,"Instream Flow Requirements","IFR1","Applied Water",6852.1
2003,"Managed Wetlands","MW1","Applied Water",1463.6
2003,"Required Delta Outflow","RDO1","Applied Water",6424.3
2003,"Wild and Scenic River","WSR1","Applied Water",29513.7
2003,"Urban","URB5","Applied Water - Commercial Use",1142.1
2003,"Urban","URB8","Applied Water - Energy Production",138.8
2003,"Urban","URB9","Applied Water - Groundwater",226.3
2003,"Agriculture","AG2","Applied Water - Groundwater Recharge",385.5
2003,"Urban","URB6","Applied Water - Industrial Use",489
2003,"Urban","URB4","Applied Water - Residential - Multi Family Exterior",486.4
2003,"Urban","URB3","Applied Water - Residential - Multi Family Interior",957.5
2003,"Urban","URB2","Applied Water - Residential - Single Family Exterior",2509.3
2003,"Urban","URB1","Applied Water - Residential - Single Family Interior",1916.6
2003,"Urban","URB7","Applied Water - Urban Large Landscape",902.2
2003,"Agriculture","AWUAG","Applied Water Use",30549.2
2003,"Instream Flow Requirements","AWUIFR","Applied Water Use",6852.1
2003,"Managed Wetlands","AWUMW","Applied Water Use",1463.6
2003,"Required Delta Outflow","AWURDO","Applied Water Use",6424.3
2003,"Urban","AWUURB","Applied Water Use",8768.2
2003,"Wild and Scenic River","AWUWSR","Applied Water Use",29513.7
2003,"Agriculture","AWUAGC","Conveyance Applied Water Use",2227.8
2003,"Managed Wetlands","AWUMWC","Conveyance Applied Water Use",63.6
2003,"Urban","AWUURBC","Conveyance Applied Water Use",231.1
2003,"Agriculture","AG22","Conveyance Deep Percolation",731.3
2003,"Managed Wetlands","MW20","Conveyance Deep Percolation",17.4
2003,"Urban","URB30","Conveyance Deep Percolation",19.2
2003,"Agriculture","AG18F","Conveyance Deep Percolation to Mexico",58
2003,"Managed Wetlands","MW16F","Conveyance Deep Percolation to Mexico",0
2003,"Urban","URB26F","Conveyance Deep Percolation to Mexico",0
2003,"Agriculture","AG18E","Conveyance Deep Percolation to Nevada",0
2003,"Managed Wetlands","MW16E","Conveyance Deep Percolation to Nevada",0
2003,"Urban","URB26E","Conveyance Deep Percolation to Nevada",0
2003,"Agriculture","AG18D","Conveyance Deep Percolation to Oregon",0
2003,"Managed Wetlands","MW16D","Conveyance Deep Percolation to Oregon",0
2003,"Urban","URB26D","Conveyance Deep Percolation to Oregon",0
2003,"Agriculture","AG23","Conveyance Deep Percolation to Salt Sink",8.2
2003,"Managed Wetlands","MW21","Conveyance Deep Percolation to Salt Sink",0.1
2003,"Urban","URB31","Conveyance Deep Percolation to Salt Sink",1
2003,"Agriculture","DEPAGC","Conveyance Depletion",987.6
2003,"Managed Wetlands","DEPMWC","Conveyance Depletion",3.2
2003,"Urban","DEPURBC","Conveyance Depletion",211.4
2003,"Agriculture","AG17","Conveyance Evaporation and ETAW",918.5
2003,"Managed Wetlands","MW15","Conveyance Evaporation and ETAW",3.1
2003,"Urban","URB25","Conveyance Evaporation and ETAW",210.4
2003,"Agriculture","NW1AGC","Conveyance Net Water Use (Applied Water - Reuse)",1279.2
2003,"Managed Wetlands","NW1MWC","Conveyance Net Water Use (Applied Water - Reuse)",25.8
2003,"Urban","NW1URBC","Conveyance Net Water Use (Applied Water - Reuse)",211.9
2003,"Agriculture","NW2AGC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",1279.2
2003,"Managed Wetlands","NW2MWC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",25.8
2003,"Urban","NW2URBC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",211.9
2003,"Agriculture","AG19B","Conveyance Return Flow for Delta Outflow",0
2003,"Managed Wetlands","MW17B","Conveyance Return Flow for Delta Outflow",0
2003,"Urban","URB27B","Conveyance Return Flow for Delta Outflow",0
2003,"Agriculture","AG20A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",158.6
2003,"Managed Wetlands","MW18A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",13.5
2003,"Urban","URB28A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",0.5
2003,"Agriculture","AG20B","Conveyance Return Flow to Developed Supply (Other PA)",133
2003,"Managed Wetlands","MW18B","Conveyance Return Flow to Developed Supply (Other PA)",9.1
2003,"Urban","URB28B","Conveyance Return Flow to Developed Supply (Other PA)",0
2003,"Agriculture","AG20C","Conveyance Return Flow to Developed Supply (Other Region)",0
2003,"Managed Wetlands","MW18C","Conveyance Return Flow to Developed Supply (Other Region)",0
2003,"Urban","URB28C","Conveyance Return Flow to Developed Supply (Other Region)",0
2003,"Agriculture","AG18C","Conveyance Return Flow to Mexico",0
2003,"Managed Wetlands","MW16C","Conveyance Return Flow to Mexico",0
2003,"Urban","URB26C","Conveyance Return Flow to Mexico",0
