"Year","CategoryA","CategoryD","CategoryC","KAcreFt"
2005,"Agriculture","AG1","Applied Water",27537.2
2005,"Instream Flow Requirements","IFR1","Applied Water",7830.4
2005,"Managed Wetlands","MW1","Applied Water",1340.7
2005,"Required Delta Outflow","RDO1","Applied Water",6999.3
2005,"Wild and Scenic River","WSR1","Applied Water",26217.1
2005,"Urban","URB5","Applied Water - Commercial Use",1073.6
2005,"Urban","URB8","Applied Water - Energy Production",143.9
2005,"Urban","URB9","Applied Water - Groundwater",378.3
2005,"Agriculture","AG2","Applied Water - Groundwater Recharge",886.4
2005,"Urban","URB6","Applied Water - Industrial Use",506.4
2005,"Urban","URB4","Applied Water - Residential - Multi Family Exterior",513.7
2005,"Urban","URB3","Applied Water - Residential - Multi Family Interior",837.9
2005,"Urban","URB2","Applied Water - Residential - Single Family Exterior",2693.6
2005,"Urban","URB1","Applied Water - Residential - Single Family Interior",1904
2005,"Urban","URB7","Applied Water - Urban Large Landscape",747
2005,"Agriculture","AWUAG","Applied Water Use",28423.6
2005,"Instream Flow Requirements","AWUIFR","Applied Water Use",7830.4
2005,"Managed Wetlands","AWUMW","Applied Water Use",1340.7
2005,"Required Delta Outflow","AWURDO","Applied Water Use",6999.3
2005,"Urban","AWUURB","Applied Water Use",8798.4
2005,"Wild and Scenic River","AWUWSR","Applied Water Use",26217.1
2005,"Agriculture","AWUAGC","Conveyance Applied Water Use",2754.8
2005,"Managed Wetlands","AWUMWC","Conveyance Applied Water Use",74.6
2005,"Urban","AWUURBC","Conveyance Applied Water Use",232
2005,"Agriculture","AG22","Conveyance Deep Percolation",866.4
2005,"Managed Wetlands","MW20","Conveyance Deep Percolation",17.4
2005,"Urban","URB30","Conveyance Deep Percolation",14.2
2005,"Agriculture","AG18F","Conveyance Deep Percolation to Mexico",0
2005,"Managed Wetlands","MW16F","Conveyance Deep Percolation to Mexico",0
2005,"Urban","URB26F","Conveyance Deep Percolation to Mexico",0
2005,"Agriculture","AG18E","Conveyance Deep Percolation to Nevada",0
2005,"Managed Wetlands","MW16E","Conveyance Deep Percolation to Nevada",0
2005,"Urban","URB26E","Conveyance Deep Percolation to Nevada",0
2005,"Agriculture","AG18D","Conveyance Deep Percolation to Oregon",0
2005,"Managed Wetlands","MW16D","Conveyance Deep Percolation to Oregon",0
2005,"Urban","URB26D","Conveyance Deep Percolation to Oregon",0
2005,"Agriculture","AG23","Conveyance Deep Percolation to Salt Sink",8.2
2005,"Managed Wetlands","MW21","Conveyance Deep Percolation to Salt Sink",0.1
2005,"Urban","URB31","Conveyance Deep Percolation to Salt Sink",2.1
2005,"Agriculture","DEPAGC","Conveyance Depletion",1002.2
2005,"Managed Wetlands","DEPMWC","Conveyance Depletion",1.3
2005,"Urban","DEPURBC","Conveyance Depletion",210.6
2005,"Agriculture","AG17","Conveyance Evaporation and ETAW",991.5
2005,"Managed Wetlands","MW15","Conveyance Evaporation and ETAW",1.2
2005,"Urban","URB25","Conveyance Evaporation and ETAW",208.5
2005,"Agriculture","NW1AGC","Conveyance Net Water Use (Applied Water - Reuse)",1321.2
2005,"Managed Wetlands","NW1MWC","Conveyance Net Water Use (Applied Water - Reuse)",30.6
2005,"Urban","NW1URBC","Conveyance Net Water Use (Applied Water - Reuse)",217.8
2005,"Agriculture","NW2AGC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",1321.2
2005,"Managed Wetlands","NW2MWC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",30.6
2005,"Urban","NW2URBC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",217.8
2005,"Agriculture","AG19B","Conveyance Return Flow for Delta Outflow",0
2005,"Managed Wetlands","MW17B","Conveyance Return Flow for Delta Outflow",0
2005,"Urban","URB27B","Conveyance Return Flow for Delta Outflow",0
2005,"Agriculture","AG20A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",183.2
2005,"Managed Wetlands","MW18A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",15.8
2005,"Urban","URB28A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",7.2
2005,"Agriculture","AG20B","Conveyance Return Flow to Developed Supply (Other PA)",129.3
2005,"Managed Wetlands","MW18B","Conveyance Return Flow to Developed Supply (Other PA)",13.5
2005,"Urban","URB28B","Conveyance Return Flow to Developed Supply (Other PA)",0
2005,"Agriculture","AG20C","Conveyance Return Flow to Developed Supply (Other Region)",6.5
2005,"Managed Wetlands","MW18C","Conveyance Return Flow to Developed Supply (Other Region)",0
2005,"Urban","URB28C","Conveyance Return Flow to Developed Supply (Other Region)",0
2005,"Agriculture","AG18C","Conveyance Return Flow to Mexico",0
2005,"Managed Wetlands","MW16C","Conveyance Return Flow to Mexico",0
2005,"Urban","URB26C","Conveyance Return Flow to Mexico",0
2005,"Agriculture","AG18B","Conveyance Return Flow to Nevada",0
2005,"Managed Wetlands","MW16B","Conveyance Return Flow to Nevada",0
2005,"Urban","URB26B","Conveyance Return Flow to Nevada",0
2005,"Agriculture","AG18A","Conveyance Return Flow to Oregon",0
2005,"Managed Wetlands","MW16A","Conveyance Return Flow to Oregon",0
2005,"Urban","URB26A","Conveyance Return Flow to Oregon",0
2005,"Agriculture","AG19A","Conveyance Return Flows to Salt Sink",2.5
2005,"Managed Wetlands","MW17A","Conveyance Return Flows to Salt Sink",0
2005,"Urban","URB27A","Conveyance Return Flows to Salt Sink",0
2005,"Agriculture","AG21","Conveyance Seepage",567.2
2005,"Managed Wetlands","MW19","Conveyance Seepage",26.6
2005,"Urban","URB29","Conveyance Seepage",0
2005,"Agriculture","AG5","Deep Percolation of Applied Water",3269.2
2005,"Managed Wetlands","MW3","Deep Percolation of Applied Water",25.2
2005,"Urban","URB12","Deep Percolation of Applied Water",1891.1
2005,"Agriculture","AG6","Deep Percolation of Applied Water to Salt Sink",556.1
2005,"Managed Wetlands","MW4","Deep Percolation of Applied Water to Salt Sink",0.2
2005,"Urban","URB13","Deep Percolation of Applied Water to Salt Sink",6.3
2005,"Agriculture","AG7","Deep Percolation of Groundwater Recharge",886.3
2005,"Managed Wetlands","MW5","Deep Percolation of Groundwater Recharge",0
2005,"Urban","URB14","Deep Percolation of Groundwater Recharge",178
2005,"Agriculture","AG9F","Deep Percolation to Mexico",0
2005,"Managed Wetlands","MW7F","Deep Percolation to Mexico",0
2005,"Urban","URB17F","Deep Percolation to Mexico",0
2005,"Agriculture","AG9E","Deep Percolation to Nevada",0
2005,"Managed Wetlands","MW7E","Deep Percolation to Nevada",0
2005,"Urban","URB17E","Deep Percolation to Nevada",0
2005,"Agriculture","AG9D","Deep Percolation to Oregon",0
2005,"Managed Wetlands","MW7D","Deep Percolation to Oregon",0
2005,"Urban","URB17D","Deep Percolation to Oregon",0
2005,"Agriculture","DEPAG","Depletion",21707.8
2005,"Instream Flow Requirements","DEPIFR","Depletion",3287.7
2005,"Managed Wetlands","DEPMW","Depletion",665.4
2005,"Required Delta Outflow","DEPRDO","Depletion",6999.3
2005,"Urban","DEPURB","Depletion",5911.2
2005,"Wild and Scenic River","DEPWSR","Depletion",18715.5
2005,"Agriculture","AG4","Evaporation and Evapotranspiration of Groundwater Recharge",0
2005,"Urban","URB11","Evaporation and Evapotranspiration of Groundwater Recharge",12.2
2005,"Urban","URB16","Evaporation and Evapotranspiration of Wastewater",24.6
2005,"Agriculture","AG3","Evapotranspiration of Applied Water",19019.6
2005,"Managed Wetlands","MW2","Evapotranspiration of Applied Water",559.1
2005,"Urban","URB10","Evapotranspiration of Applied Water",2475.8
2005,"Agriculture","NW1AG","Net Water Use (Applied Water - Reuse)",23425.4
2005,"Instream Flow Requirements","NW1IFR","Net Water Use (Applied Water - Reuse)",7176.8
2005,"Managed Wetlands","NW1MW","Net Water Use (Applied Water - Reuse)",1179.5
