"Year","CategoryA","CategoryD","CategoryC","KAcreFt"
2007,"Agriculture","AG1","Applied Water",33852
2007,"Instream Flow Requirements","IFR1","Applied Water",6453.1
2007,"Managed Wetlands","MW1","Applied Water",1514.7
2007,"Required Delta Outflow","RDO1","Applied Water",4501.3
2007,"Wild and Scenic River","WSR1","Applied Water",18084.1
2007,"Urban","URB5","Applied Water - Commercial Use",1245.5
2007,"Urban","URB8","Applied Water - Energy Production",165.9
2007,"Urban","URB9","Applied Water - Groundwater",416.4
2007,"Agriculture","AG2","Applied Water - Groundwater Recharge",287.9
2007,"Urban","URB6","Applied Water - Industrial Use",554.7
2007,"Urban","URB4","Applied Water - Residential - Multi Family Exterior",555.1
2007,"Urban","URB3","Applied Water - Residential - Multi Family Interior",865.1
2007,"Urban","URB2","Applied Water - Residential - Single Family Exterior",2586.1
2007,"Urban","URB1","Applied Water - Residential - Single Family Interior",2024.8
2007,"Urban","URB7","Applied Water - Urban Large Landscape",995.4
2007,"Agriculture","AWUAG","Applied Water Use",34139.9
2007,"Instream Flow Requirements","AWUIFR","Applied Water Use",6453.1
2007,"Managed Wetlands","AWUMW","Applied Water Use",1514.7
2007,"Required Delta Outflow","AWURDO","Applied Water Use",4501.3
2007,"Urban","AWUURB","Applied Water Use",9409
2007,"Wild and Scenic River","AWUWSR","Applied Water Use",18084.1
2007,"Agriculture","AWUAGC","Conveyance Applied Water Use",2738.6
2007,"Managed Wetlands","AWUMWC","Conveyance Applied Water Use",93.3
2007,"Urban","AWUURBC","Conveyance Applied Water Use",199.6
2007,"Agriculture","AG22","Conveyance Deep Percolation",788.8
2007,"Managed Wetlands","MW20","Conveyance Deep Percolation",20.4
2007,"Urban","URB30","Conveyance Deep Percolation",16.6
2007,"Agriculture","AG18F","Conveyance Deep Percolation to Mexico",0
2007,"Managed Wetlands","MW16F","Conveyance Deep Percolation to Mexico",0
2007,"Urban","URB26F","Conveyance Deep Percolation to Mexico",0
2007,"Agriculture","AG18E","Conveyance Deep Percolation to Nevada",0
