"Year","CategoryA","CategoryD","CategoryC","KAcreFt"
2008,"Agriculture","AG1","Applied Water",34366
2008,"Instream Flow Requirements","IFR1","Applied Water",6154.3
2008,"Managed Wetlands","MW1","Applied Water",1475.5
2008,"Required Delta Outflow","RDO1","Applied Water",4464.4
2008,"Wild and Scenic River","WSR1","Applied Water",19490.5
2008,"Urban","URB5","Applied Water - Commercial Use",1182.1
2008,"Urban","URB8","Applied Water - Energy Production",167.6
2008,"Urban","URB9","Applied Water - Groundwater",251.1
2008,"Agriculture","AG2","Applied Water - Groundwater Recharge",129.2
2008,"Urban","URB6","Applied Water - Industrial Use",574.3
2008,"Urban","URB4","Applied Water - Residential - Multi Family Exterior",532.1
2008,"Urban","URB3","Applied Water - Residential - Multi Family Interior",847.7
2008,"Urban","URB2","Applied Water - Residential - Single Family Exterior",2589.6
2008,"Urban","URB1","Applied Water - Residential - Single Family Interior",1990.5
2008,"Urban","URB7","Applied Water - Urban Large Landscape",960.9
2008,"Agriculture","AWUAG","Applied Water Use",34495.2
2008,"Instream Flow Requirements","AWUIFR","Applied Water Use",6154.3
2008,"Managed Wetlands","AWUMW","Applied Water Use",1475.5
2008,"Required Delta Outflow","AWURDO","Applied Water Use",4464.4
2008,"Urban","AWUURB","Applied Water Use",9095.9
2008,"Wild and Scenic River","AWUWSR","Applied Water Use",19490.5
2008,"Agriculture","AWUAGC","Conveyance Applied Water Use",2535.5
2008,"Managed Wetlands","AWUMWC","Conveyance Applied Water Use",92.4
2008,"Urban","AWUURBC","Conveyance Applied Water Use",215.9
2008,"Agriculture","AG22","Conveyance Deep Percolation",695.5
2008,"Managed Wetlands","MW20","Conveyance Deep Percolation",21
2008,"Urban","URB30","Conveyance Deep Percolation",20
2008,"Agriculture","AG18F","Conveyance Deep Percolation to Mexico",0
2008,"Managed Wetlands","MW16F","Conveyance Deep Percolation to Mexico",0
2008,"Urban","URB26F","Conveyance Deep Percolation to Mexico",0
2008,"Agriculture","AG18E","Conveyance Deep Percolation to Nevada",0
2008,"Managed Wetlands","MW16E","Conveyance Deep Percolation to Nevada",0
2008,"Urban","URB26E","Conveyance Deep Percolation to Nevada",0.6
2008,"Agriculture","AG18D","Conveyance Deep Percolation to Oregon",0
2008,"Managed Wetlands","MW16D","Conveyance Deep Percolation to Oregon",0
2008,"Urban","URB26D","Conveyance Deep Percolation to Oregon",0
2008,"Agriculture","AG23","Conveyance Deep Percolation to Salt Sink",10
2008,"Managed Wetlands","MW21","Conveyance Deep Percolation to Salt Sink",0
2008,"Urban","URB31","Conveyance Deep Percolation to Salt Sink",2.4
2008,"Agriculture","DEPAGC","Conveyance Depletion",908.8
2008,"Managed Wetlands","DEPMWC","Conveyance Depletion",14.1
2008,"Urban","DEPURBC","Conveyance Depletion",181.2
2008,"Agriculture","AG17","Conveyance Evaporation and ETAW",895.5
2008,"Managed Wetlands","MW15","Conveyance Evaporation and ETAW",14.1
2008,"Urban","URB25","Conveyance Evaporation and ETAW",178.2
2008,"Agriculture","NW1AGC","Conveyance Net Water Use (Applied Water - Reuse)",1248.5
2008,"Managed Wetlands","NW1MWC","Conveyance Net Water Use (Applied Water - Reuse)",45.6
2008,"Urban","NW1URBC","Conveyance Net Water Use (Applied Water - Reuse)",195.9
2008,"Agriculture","NW2AGC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",1248.5
2008,"Managed Wetlands","NW2MWC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",45.6
2008,"Urban","NW2URBC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",195.9
2008,"Agriculture","AG19B","Conveyance Return Flow for Delta Outflow",0
2008,"Managed Wetlands","MW17B","Conveyance Return Flow for Delta Outflow",0
2008,"Urban","URB27B","Conveyance Return Flow for Delta Outflow",0
2008,"Agriculture","AG20A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",101
2008,"Managed Wetlands","MW18A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",17.8
2008,"Urban","URB28A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",12.7
2008,"Agriculture","AG20B","Conveyance Return Flow to Developed Supply (Other PA)",232.3
2008,"Managed Wetlands","MW18B","Conveyance Return Flow to Developed Supply (Other PA)",13.7
2008,"Urban","URB28B","Conveyance Return Flow to Developed Supply (Other PA)",2
2008,"Agriculture","AG20C","Conveyance Return Flow to Developed Supply (Other Region)",6.4
2008,"Managed Wetlands","MW18C","Conveyance Return Flow to Developed Supply (Other Region)",0
2008,"Urban","URB28C","Conveyance Return Flow to Developed Supply (Other Region)",0
2008,"Agriculture","AG18C","Conveyance Return Flow to Mexico",0
2008,"Managed Wetlands","MW16C","Conveyance Return Flow to Mexico",0
2008,"Urban","URB26C","Conveyance Return Flow to Mexico",0
2008,"Agriculture","AG18B","Conveyance Return Flow to Nevada",0
2008,"Managed Wetlands","MW16B","Conveyance Return Flow to Nevada",0
2008,"Urban","URB26B","Conveyance Return Flow to Nevada",0
2008,"Agriculture","AG18A","Conveyance Return Flow to Oregon",0
2008,"Managed Wetlands","MW16A","Conveyance Return Flow to Oregon",0
2008,"Urban","URB26A","Conveyance Return Flow to Oregon",0
2008,"Agriculture","AG19A","Conveyance Return Flows to Salt Sink",3.3
2008,"Managed Wetlands","MW17A","Conveyance Return Flows to Salt Sink",0
2008,"Urban","URB27A","Conveyance Return Flows to Salt Sink",0
2008,"Agriculture","AG21","Conveyance Seepage",591.5
2008,"Managed Wetlands","MW19","Conveyance Seepage",25.8
2008,"Urban","URB29","Conveyance Seepage",0
2008,"Agriculture","AG5","Deep Percolation of Applied Water",3974.9
2008,"Managed Wetlands","MW3","Deep Percolation of Applied Water",29.2
2008,"Urban","URB12","Deep Percolation of Applied Water",1752.9
2008,"Agriculture","AG6","Deep Percolation of Applied Water to Salt Sink",775.6
2008,"Managed Wetlands","MW4","Deep Percolation of Applied Water to Salt Sink",0.1
2008,"Urban","URB13","Deep Percolation of Applied Water to Salt Sink",30
2008,"Agriculture","AG7","Deep Percolation of Groundwater Recharge",110.7
2008,"Managed Wetlands","MW5","Deep Percolation of Groundwater Recharge",0
2008,"Urban","URB14","Deep Percolation of Groundwater Recharge",240.7
2008,"Agriculture","AG9F","Deep Percolation to Mexico",0
2008,"Managed Wetlands","MW7F","Deep Percolation to Mexico",0
2008,"Urban","URB17F","Deep Percolation to Mexico",0
2008,"Agriculture","AG9E","Deep Percolation to Nevada",0
2008,"Managed Wetlands","MW7E","Deep Percolation to Nevada",0
2008,"Urban","URB17E","Deep Percolation to Nevada",1.1
2008,"Agriculture","AG9D","Deep Percolation to Oregon",0
2008,"Managed Wetlands","MW7D","Deep Percolation to Oregon",0
2008,"Urban","URB17D","Deep Percolation to Oregon",0
2008,"Agriculture","DEPAG","Depletion",26713.2
2008,"Instream Flow Requirements","DEPIFR","Depletion",2181.2
2008,"Managed Wetlands","DEPMW","Depletion",1053.4
2008,"Required Delta Outflow","DEPRDO","Depletion",4464.4
2008,"Urban","DEPURB","Depletion",5955.4
2008,"Wild and Scenic River","DEPWSR","Depletion",15381.7
2008,"Agriculture","AG4","Evaporation and Evapotranspiration of Groundwater Recharge",2.3
2008,"Urban","URB11","Evaporation and Evapotranspiration of Groundwater Recharge",0.9
2008,"Urban","URB16","Evaporation and Evapotranspiration of Wastewater",71.1
2008,"Agriculture","AG3","Evapotranspiration of Applied Water",23787.9
2008,"Managed Wetlands","MW2","Evapotranspiration of Applied Water",749.2
2008,"Urban","URB10","Evapotranspiration of Applied Water",2739.2
2008,"Agriculture","NW1AG","Net Water Use (Applied Water - Reuse)",29028.1
2008,"Instream Flow Requirements","NW1IFR","Net Water Use (Applied Water - Reuse)",4939.1
2008,"Managed Wetlands","NW1MW","Net Water Use (Applied Water - Reuse)",1331.8
2008,"Required Delta Outflow","NW1RDO","Net Water Use (Applied Water - Reuse)",4464.4
2008,"Urban","NW1URB","Net Water Use (Applied Water - Reuse)",6669.3
2008,"Wild and Scenic River","NW1WSR","Net Water Use (Applied Water - Reuse)",15495.2
2008,"Agriculture","NW2AG","Net Water Use (ETAW + Flow/Salt Sink + Outflow)",29020.4
2008,"Instream Flow Requirements","NW2IFR","Net Water Use (ETAW + Flow/Salt Sink + Outflow)",4939.1
2008,"Managed Wetlands","NW2MW","Net Water Use (ETAW + Flow/Salt Sink + Outflow)",1331.8
2008,"Required Delta Outflow","NW2RDO","Net Water Use (ETAW + Flow/Salt Sink + Outflow)",4464.4
2008,"Urban","NW2URB","Net Water Use (ETAW + Flow/Salt Sink + Outflow)",6677.3
2008,"Wild and Scenic River","NW2WSR","Net Water Use (ETAW + Flow/Salt Sink + Outflow)",15495.2
2008,"Agriculture","AG10B","Return Flow for Delta Outflow",589.8
2008,"Instream Flow Requirements","IFR3C","Return Flow for Delta Outflow",549.3
2008,"Managed Wetlands","MW8B","Return Flow for Delta Outflow",232
2008,"Required Delta Outflow","RDO2","Return Flow for Delta Outflow",4464.4
2008,"Urban","URB18B","Return Flow for Delta Outflow",201
2008,"Wild and Scenic River","WSR3C","Return Flow for Delta Outflow",707.8
2008,"Agriculture","AG11D","Return Flow to Carryover Storage for Next Water Year within DAU",110.2
2008,"Managed Wetlands","MW9D","Return Flow to Carryover Storage for Next Water Year within DAU",26.6
2008,"Urban","URB19D","Return Flow to Carryover Storage for Next Water Year within DAU",0
2008,"Agriculture","AG11A","Return Flow to Developed Supply (Other DAUCO within PA)",538.9
2008,"Instream Flow Requirements","IFR4A","Return Flow to Developed Supply (Other DAUCO within PA)",98.6
2008,"Managed Wetlands","MW9A","Return Flow to Developed Supply (Other DAUCO within PA)",43.3
2008,"Urban","URB19A","Return Flow to Developed Supply (Other DAUCO within PA)",517.4
2008,"Wild and Scenic River","WSR4A","Return Flow to Developed Supply (Other DAUCO within PA)",0
2008,"Agriculture","AG11B","Return Flow to Developed Supply (Other PA)",1364
2008,"Instream Flow Requirements","IFR4B","Return Flow to Developed Supply (Other PA)",2598.8
2008,"Managed Wetlands","MW9B","Return Flow to Developed Supply (Other PA)",149.4
2008,"Urban","URB19B","Return Flow to Developed Supply (Other PA)",201.2
2008,"Wild and Scenic River","WSR4B","Return Flow to Developed Supply (Other PA)",113.5
2008,"Agriculture","AG11C","Return Flow to Developed Supply (Other Region)",294.1
2008,"Instream Flow Requirements","IFR4C","Return Flow to Developed Supply (Other Region)",60.5
2008,"Managed Wetlands","MW9C","Return Flow to Developed Supply (Other Region)",59.1
2008,"Urban","URB19C","Return Flow to Developed Supply (Other Region)",3.3
2008,"Wild and Scenic River","WSR4C","Return Flow to Developed Supply (Other Region)",0
2008,"Agriculture","AG9C","Return Flow to Mexico",0
2008,"Managed Wetlands","MW7C","Return Flow to Mexico",0
2008,"Urban","URB17C","Return Flow to Mexico",0
2008,"Agriculture","AG9B","Return Flow to Nevada",24.7
2008,"Managed Wetlands","MW7B","Return Flow to Nevada",0
2008,"Urban","URB17B","Return Flow to Nevada",0.3
2008,"Agriculture","AG9A","Return Flow to Oregon",0
2008,"Managed Wetlands","MW7A","Return Flow to Oregon",33.7
2008,"Urban","URB17A","Return Flow to Oregon",0
2008,"Instream Flow Requirements","IFR3B","Return Flow to Oregon - Mexico - Nevada",84.4
2008,"Wild and Scenic River","WSR3B","Return Flow to Oregon - Mexico - Nevada",42
2008,"Agriculture","AG10A","Return Flow to Salt Sink",1035.9
2008,"Instream Flow Requirements","IFR3A","Return Flow to Salt Sink",1547.5
2008,"Managed Wetlands","MW8A","Return Flow to Salt Sink",19.2
2008,"Urban","URB18A","Return Flow to Salt Sink",2880.2
2008,"Wild and Scenic River","WSR3A","Return Flow to Salt Sink",14631.9
2008,"Agriculture","AG12","Return Flows Evaporation and Evapotranspiration",497
2008,"Managed Wetlands","MW10","Return Flows Evaporation and Evapotranspiration",19.2
2008,"Urban","URB20","Return Flows Evaporation and Evapotranspiration",31.6
2008,"Agriculture","AG8","Reuse of Return Flows within DAUCO",1381.5
