"Year","CategoryA","CategoryD","CategoryC","KAcreFt"
2009,"Agriculture","AG1","Applied Water",33428.7
2009,"Instream Flow Requirements","IFR1","Applied Water",6278
2009,"Managed Wetlands","MW1","Applied Water",1455.2
2009,"Required Delta Outflow","RDO1","Applied Water",4680.2
2009,"Wild and Scenic River","WSR1","Applied Water",18061.4
2009,"Urban","URB5","Applied Water - Commercial Use",1141.9
2009,"Urban","URB8","Applied Water - Energy Production",156.8
2009,"Urban","URB9","Applied Water - Groundwater",340.8
2009,"Agriculture","AG2","Applied Water - Groundwater Recharge",109.4
2009,"Urban","URB6","Applied Water - Industrial Use",510.9
2009,"Urban","URB4","Applied Water - Residential - Multi Family Exterior",519.5
2009,"Urban","URB3","Applied Water - Residential - Multi Family Interior",842.5
2009,"Urban","URB2","Applied Water - Residential - Single Family Exterior",2382.2
2009,"Urban","URB1","Applied Water - Residential - Single Family Interior",1840.5
2009,"Urban","URB7","Applied Water - Urban Large Landscape",967.3
2009,"Agriculture","AWUAG","Applied Water Use",33538.1
2009,"Instream Flow Requirements","AWUIFR","Applied Water Use",6278
2009,"Managed Wetlands","AWUMW","Applied Water Use",1455.2
2009,"Required Delta Outflow","AWURDO","Applied Water Use",4680.2
2009,"Urban","AWUURB","Applied Water Use",8702.4
2009,"Wild and Scenic River","AWUWSR","Applied Water Use",18061.4
2009,"Agriculture","AWUAGC","Conveyance Applied Water Use",2455.3
2009,"Managed Wetlands","AWUMWC","Conveyance Applied Water Use",88.3
2009,"Urban","AWUURBC","Conveyance Applied Water Use",225.8
2009,"Agriculture","AG22","Conveyance Deep Percolation",691.2
2009,"Managed Wetlands","MW20","Conveyance Deep Percolation",20.7
2009,"Urban","URB30","Conveyance Deep Percolation",23.5
2009,"Agriculture","AG18F","Conveyance Deep Percolation to Mexico",0
2009,"Managed Wetlands","MW16F","Conveyance Deep Percolation to Mexico",0
2009,"Urban","URB26F","Conveyance Deep Percolation to Mexico",0
2009,"Agriculture","AG18E","Conveyance Deep Percolation to Nevada",0
2009,"Managed Wetlands","MW16E","Conveyance Deep Percolation to Nevada",0
2009,"Urban","URB26E","Conveyance Deep Percolation to Nevada",0
2009,"Agriculture","AG18D","Conveyance Deep Percolation to Oregon",0
2009,"Managed Wetlands","MW16D","Conveyance Deep Percolation to Oregon",0
2009,"Urban","URB26D","Conveyance Deep Percolation to Oregon",0
2009,"Agriculture","AG23","Conveyance Deep Percolation to Salt Sink",7.2
2009,"Managed Wetlands","MW21","Conveyance Deep Percolation to Salt Sink",0
2009,"Urban","URB31","Conveyance Deep Percolation to Salt Sink",2.1
2009,"Agriculture","DEPAGC","Conveyance Depletion",863.1
2009,"Managed Wetlands","DEPMWC","Conveyance Depletion",14.2
2009,"Urban","DEPURBC","Conveyance Depletion",181.9
2009,"Agriculture","AG17","Conveyance Evaporation and ETAW",852.7
2009,"Managed Wetlands","MW15","Conveyance Evaporation and ETAW",14.2
2009,"Urban","URB25","Conveyance Evaporation and ETAW",179.8
2009,"Agriculture","NW1AGC","Conveyance Net Water Use (Applied Water - Reuse)",1216.1
2009,"Managed Wetlands","NW1MWC","Conveyance Net Water Use (Applied Water - Reuse)",43.7
2009,"Urban","NW1URBC","Conveyance Net Water Use (Applied Water - Reuse)",202.3
2009,"Agriculture","NW2AGC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",1216.1
2009,"Managed Wetlands","NW2MWC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",43.7
2009,"Urban","NW2URBC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",202.3
2009,"Agriculture","AG19B","Conveyance Return Flow for Delta Outflow",0
2009,"Managed Wetlands","MW17B","Conveyance Return Flow for Delta Outflow",0
2009,"Urban","URB27B","Conveyance Return Flow for Delta Outflow",0
2009,"Agriculture","AG20A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",209.7
2009,"Managed Wetlands","MW18A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",17.1
2009,"Urban","URB28A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",18.4
2009,"Agriculture","AG20B","Conveyance Return Flow to Developed Supply (Other PA)",136.4
2009,"Managed Wetlands","MW18B","Conveyance Return Flow to Developed Supply (Other PA)",12.4
2009,"Urban","URB28B","Conveyance Return Flow to Developed Supply (Other PA)",2
2009,"Agriculture","AG20C","Conveyance Return Flow to Developed Supply (Other Region)",6.9
2009,"Managed Wetlands","MW18C","Conveyance Return Flow to Developed Supply (Other Region)",0
2009,"Urban","URB28C","Conveyance Return Flow to Developed Supply (Other Region)",0
2009,"Agriculture","AG18C","Conveyance Return Flow to Mexico",0
2009,"Managed Wetlands","MW16C","Conveyance Return Flow to Mexico",0
2009,"Urban","URB26C","Conveyance Return Flow to Mexico",0
2009,"Agriculture","AG18B","Conveyance Return Flow to Nevada",0
2009,"Managed Wetlands","MW16B","Conveyance Return Flow to Nevada",0
2009,"Urban","URB26B","Conveyance Return Flow to Nevada",0
2009,"Agriculture","AG18A","Conveyance Return Flow to Oregon",0
2009,"Managed Wetlands","MW16A","Conveyance Return Flow to Oregon",0
2009,"Urban","URB26A","Conveyance Return Flow to Oregon",0
2009,"Agriculture","AG19A","Conveyance Return Flows to Salt Sink",3.2
2009,"Managed Wetlands","MW17A","Conveyance Return Flows to Salt Sink",0
2009,"Urban","URB27A","Conveyance Return Flows to Salt Sink",0
2009,"Agriculture","AG21","Conveyance Seepage",548
2009,"Managed Wetlands","MW19","Conveyance Seepage",23.9
2009,"Urban","URB29","Conveyance Seepage",0
2009,"Agriculture","AG5","Deep Percolation of Applied Water",4132.2
2009,"Managed Wetlands","MW3","Deep Percolation of Applied Water",33.6
2009,"Urban","URB12","Deep Percolation of Applied Water",1708.6
2009,"Agriculture","AG6","Deep Percolation of Applied Water to Salt Sink",708.8
2009,"Managed Wetlands","MW4","Deep Percolation of Applied Water to Salt Sink",0.1
2009,"Urban","URB13","Deep Percolation of Applied Water to Salt Sink",27.5
2009,"Agriculture","AG7","Deep Percolation of Groundwater Recharge",102.4
2009,"Managed Wetlands","MW5","Deep Percolation of Groundwater Recharge",0
2009,"Urban","URB14","Deep Percolation of Groundwater Recharge",325.1
2009,"Agriculture","AG9F","Deep Percolation to Mexico",0
2009,"Managed Wetlands","MW7F","Deep Percolation to Mexico",0
2009,"Urban","URB17F","Deep Percolation to Mexico",0
2009,"Agriculture","AG9E","Deep Percolation to Nevada",0
2009,"Managed Wetlands","MW7E","Deep Percolation to Nevada",0
2009,"Urban","URB17E","Deep Percolation to Nevada",0.8
2009,"Agriculture","AG9D","Deep Percolation to Oregon",0
2009,"Managed Wetlands","MW7D","Deep Percolation to Oregon",0
2009,"Urban","URB17D","Deep Percolation to Oregon",0
2009,"Agriculture","DEPAG","Depletion",25774.7
2009,"Instream Flow Requirements","DEPIFR","Depletion",4099.8
2009,"Managed Wetlands","DEPMW","Depletion",792.6
2009,"Required Delta Outflow","DEPRDO","Depletion",4680.2
2009,"Urban","DEPURB","Depletion",5600.2
2009,"Wild and Scenic River","DEPWSR","Depletion",13181.1
2009,"Agriculture","AG4","Evaporation and Evapotranspiration of Groundwater Recharge",4.3
2009,"Urban","URB11","Evaporation and Evapotranspiration of Groundwater Recharge",1.5
2009,"Urban","URB16","Evaporation and Evapotranspiration of Wastewater",68.3
2009,"Agriculture","AG3","Evapotranspiration of Applied Water",23098
2009,"Managed Wetlands","MW2","Evapotranspiration of Applied Water",736.2
2009,"Urban","URB10","Evapotranspiration of Applied Water",2601
2009,"Agriculture","NW1AG","Net Water Use (Applied Water - Reuse)",27879.7
2009,"Instream Flow Requirements","NW1IFR","Net Water Use (Applied Water - Reuse)",5024.4
