"Year","CategoryA","CategoryD","CategoryC","KAcreFt"
2010,"Agriculture","AG1","Applied Water",29635.4
2010,"Instream Flow Requirements","IFR1","Applied Water",6753
2010,"Managed Wetlands","MW1","Applied Water",1405.6
2010,"Required Delta Outflow","RDO1","Applied Water",5323.4
2010,"Wild and Scenic River","WSR1","Applied Water",25060.9
2010,"Urban","URB5","Applied Water - Commercial Use",1034.8
2010,"Urban","URB8","Applied Water - Energy Production",157.6
2010,"Urban","URB9","Applied Water - Groundwater",504.1
2010,"Agriculture","AG2","Applied Water - Groundwater Recharge",553.4
2010,"Urban","URB6","Applied Water - Industrial Use",490
2010,"Urban","URB4","Applied Water - Residential - Multi Family Exterior",487.8
2010,"Urban","URB3","Applied Water - Residential - Multi Family Interior",834.3
2010,"Urban","URB2","Applied Water - Residential - Single Family Exterior",2217
2010,"Urban","URB1","Applied Water - Residential - Single Family Interior",1662.9
2010,"Urban","URB7","Applied Water - Urban Large Landscape",790.6
2010,"Agriculture","AWUAG","Applied Water Use",30188.8
2010,"Instream Flow Requirements","AWUIFR","Applied Water Use",6753
2010,"Managed Wetlands","AWUMW","Applied Water Use",1405.6
2010,"Required Delta Outflow","AWURDO","Applied Water Use",5323.4
2010,"Urban","AWUURB","Applied Water Use",8179.1
2010,"Wild and Scenic River","AWUWSR","Applied Water Use",25060.9
2010,"Agriculture","AWUAGC","Conveyance Applied Water Use",2671.4
2010,"Managed Wetlands","AWUMWC","Conveyance Applied Water Use",90.6
2010,"Urban","AWUURBC","Conveyance Applied Water Use",241.1
2010,"Agriculture","AG22","Conveyance Deep Percolation",776.3
2010,"Managed Wetlands","MW20","Conveyance Deep Percolation",21.9
2010,"Urban","URB30","Conveyance Deep Percolation",23.7
2010,"Agriculture","AG18F","Conveyance Deep Percolation to Mexico",0
2010,"Managed Wetlands","MW16F","Conveyance Deep Percolation to Mexico",0
2010,"Urban","URB26F","Conveyance Deep Percolation to Mexico",0
2010,"Agriculture","AG18E","Conveyance Deep Percolation to Nevada",0
2010,"Managed Wetlands","MW16E","Conveyance Deep Percolation to Nevada",0
2010,"Urban","URB26E","Conveyance Deep Percolation to Nevada",0
2010,"Agriculture","AG18D","Conveyance Deep Percolation to Oregon",0
2010,"Managed Wetlands","MW16D","Conveyance Deep Percolation to Oregon",0
2010,"Urban","URB26D","Conveyance Deep Percolation to Oregon",0
2010,"Agriculture","AG23","Conveyance Deep Percolation to Salt Sink",7.3
2010,"Managed Wetlands","MW21","Conveyance Deep Percolation to Salt Sink",0
2010,"Urban","URB31","Conveyance Deep Percolation to Salt Sink",2.3
2010,"Agriculture","DEPAGC","Conveyance Depletion",933.4
2010,"Managed Wetlands","DEPMWC","Conveyance Depletion",13.4
2010,"Urban","DEPURBC","Conveyance Depletion",201.4
2010,"Agriculture","AG17","Conveyance Evaporation and ETAW",922.4
2010,"Managed Wetlands","MW15","Conveyance Evaporation and ETAW",13.4
2010,"Urban","URB25","Conveyance Evaporation and ETAW",199.1
2010,"Agriculture","NW1AGC","Conveyance Net Water Use (Applied Water - Reuse)",1331.5
2010,"Managed Wetlands","NW1MWC","Conveyance Net Water Use (Applied Water - Reuse)",45.1
2010,"Urban","NW1URBC","Conveyance Net Water Use (Applied Water - Reuse)",217.3
2010,"Agriculture","NW2AGC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",1331.5
2010,"Managed Wetlands","NW2MWC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",45.1
2010,"Urban","NW2URBC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",217.3
2010,"Agriculture","AG19B","Conveyance Return Flow for Delta Outflow",0
2010,"Managed Wetlands","MW17B","Conveyance Return Flow for Delta Outflow",0
2010,"Urban","URB27B","Conveyance Return Flow for Delta Outflow",0
2010,"Agriculture","AG20A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",214.5
2010,"Managed Wetlands","MW18A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",18.9
2010,"Urban","URB28A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",14.6
2010,"Agriculture","AG20B","Conveyance Return Flow to Developed Supply (Other PA)",183.4
2010,"Managed Wetlands","MW18B","Conveyance Return Flow to Developed Supply (Other PA)",12.8
2010,"Urban","URB28B","Conveyance Return Flow to Developed Supply (Other PA)",1.2
2010,"Agriculture","AG20C","Conveyance Return Flow to Developed Supply (Other Region)",0.2
2010,"Managed Wetlands","MW18C","Conveyance Return Flow to Developed Supply (Other Region)",0
2010,"Urban","URB28C","Conveyance Return Flow to Developed Supply (Other Region)",0.1
2010,"Agriculture","AG18C","Conveyance Return Flow to Mexico",0
