"Year","CategoryA","CategoryD","CategoryC","KAcreFt"
2011,"Agriculture","AG1","Applied Water",26943.7
2011,"Instream Flow Requirements","IFR1","Applied Water",7852.3
2011,"Managed Wetlands","MW1","Applied Water",1389.3
2011,"Required Delta Outflow","RDO1","Applied Water",7384.5
2011,"Wild and Scenic River","WSR1","Applied Water",36467
2011,"Urban","URB5","Applied Water - Commercial Use",1069.6
2011,"Urban","URB8","Applied Water - Energy Production",119.8
2011,"Urban","URB9","Applied Water - Groundwater",497.8
2011,"Agriculture","AG2","Applied Water - Groundwater Recharge",1436.7
2011,"Urban","URB6","Applied Water - Industrial Use",360
2011,"Urban","URB4","Applied Water - Residential - Multi Family Exterior",385
2011,"Urban","URB3","Applied Water - Residential - Multi Family Interior",750.4
2011,"Urban","URB2","Applied Water - Residential - Single Family Exterior",1879.3
2011,"Urban","URB1","Applied Water - Residential - Single Family Interior",1689.83
2011,"Urban","URB7","Applied Water - Urban Large Landscape",635.4
2011,"Agriculture","AWUAG","Applied Water Use",28380.4
2011,"Instream Flow Requirements","AWUIFR","Applied Water Use",7852.3
2011,"Managed Wetlands","AWUMW","Applied Water Use",1389.3
2011,"Required Delta Outflow","AWURDO","Applied Water Use",7384.5
2011,"Urban","AWUURB","Applied Water Use",7387.13
2011,"Wild and Scenic River","AWUWSR","Applied Water Use",36467
2011,"Agriculture","AWUAGC","Conveyance Applied Water Use",3359.7
2011,"Managed Wetlands","AWUMWC","Conveyance Applied Water Use",111.1
2011,"Urban","AWUURBC","Conveyance Applied Water Use",355.6
2011,"Agriculture","AG22","Conveyance Deep Percolation",871.4
2011,"Managed Wetlands","MW20","Conveyance Deep Percolation",21.4
2011,"Urban","URB30","Conveyance Deep Percolation",160.4
2011,"Agriculture","AG18F","Conveyance Deep Percolation to Mexico",0
2011,"Managed Wetlands","MW16F","Conveyance Deep Percolation to Mexico",0
2011,"Urban","URB26F","Conveyance Deep Percolation to Mexico",0
2011,"Agriculture","AG18E","Conveyance Deep Percolation to Nevada",0
2011,"Managed Wetlands","MW16E","Conveyance Deep Percolation to Nevada",0
2011,"Urban","URB26E","Conveyance Deep Percolation to Nevada",0
2011,"Agriculture","AG18D","Conveyance Deep Percolation to Oregon",0
2011,"Managed Wetlands","MW16D","Conveyance Deep Percolation to Oregon",0
2011,"Urban","URB26D","Conveyance Deep Percolation to Oregon",0
2011,"Agriculture","AG23","Conveyance Deep Percolation to Salt Sink",5.9
2011,"Managed Wetlands","MW21","Conveyance Deep Percolation to Salt Sink",0
2011,"Urban","URB31","Conveyance Deep Percolation to Salt Sink",2.4
2011,"Agriculture","DEPAGC","Conveyance Depletion",1044.4
2011,"Managed Wetlands","DEPMWC","Conveyance Depletion",15.9
2011,"Urban","DEPURBC","Conveyance Depletion",185
2011,"Agriculture","AG17","Conveyance Evaporation and ETAW",1033.5
2011,"Managed Wetlands","MW15","Conveyance Evaporation and ETAW",15.2
2011,"Urban","URB25","Conveyance Evaporation and ETAW",182.5
2011,"Agriculture","NW1AGC","Conveyance Net Water Use (Applied Water - Reuse)",1955.4
2011,"Managed Wetlands","NW1MWC","Conveyance Net Water Use (Applied Water - Reuse)",66.1
2011,"Urban","NW1URBC","Conveyance Net Water Use (Applied Water - Reuse)",189.5
2011,"Agriculture","NW2AGC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",1955.4
2011,"Managed Wetlands","NW2MWC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",66.1
2011,"Urban","NW2URBC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",189.5
2011,"Agriculture","AG19B","Conveyance Return Flow for Delta Outflow",0
2011,"Managed Wetlands","MW17B","Conveyance Return Flow for Delta Outflow",0
2011,"Urban","URB27B","Conveyance Return Flow for Delta Outflow",0
2011,"Agriculture","AG20A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",308.2
2011,"Managed Wetlands","MW18A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",22.7
2011,"Urban","URB28A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",0
2011,"Agriculture","AG20B","Conveyance Return Flow to Developed Supply (Other PA)",519.8
2011,"Managed Wetlands","MW18B","Conveyance Return Flow to Developed Supply (Other PA)",15.9
2011,"Urban","URB28B","Conveyance Return Flow to Developed Supply (Other PA)",2.2
2011,"Agriculture","AG20C","Conveyance Return Flow to Developed Supply (Other Region)",83
2011,"Managed Wetlands","MW18C","Conveyance Return Flow to Developed Supply (Other Region)",11.6
2011,"Urban","URB28C","Conveyance Return Flow to Developed Supply (Other Region)",2.3
2011,"Agriculture","AG18C","Conveyance Return Flow to Mexico",0
2011,"Managed Wetlands","MW16C","Conveyance Return Flow to Mexico",0
2011,"Urban","URB26C","Conveyance Return Flow to Mexico",0
2011,"Agriculture","AG18B","Conveyance Return Flow to Nevada",0
2011,"Managed Wetlands","MW16B","Conveyance Return Flow to Nevada",0
2011,"Urban","URB26B","Conveyance Return Flow to Nevada",0
2011,"Agriculture","AG18A","Conveyance Return Flow to Oregon",3.1
2011,"Managed Wetlands","MW16A","Conveyance Return Flow to Oregon",0.7
2011,"Urban","URB26A","Conveyance Return Flow to Oregon",0
2011,"Agriculture","AG19A","Conveyance Return Flows to Salt Sink",1.9
2011,"Managed Wetlands","MW17A","Conveyance Return Flows to Salt Sink",0
2011,"Urban","URB27A","Conveyance Return Flows to Salt Sink",0.1
2011,"Agriculture","AG21","Conveyance Seepage",532.9
2011,"Managed Wetlands","MW19","Conveyance Seepage",23.6
2011,"Urban","URB29","Conveyance Seepage",5.7
2011,"Agriculture","AG5","Deep Percolation of Applied Water",1794.6
2011,"Managed Wetlands","MW3","Deep Percolation of Applied Water",41.6
2011,"Urban","URB12","Deep Percolation of Applied Water",1421.92
2011,"Agriculture","AG6","Deep Percolation of Applied Water to Salt Sink",688.1
2011,"Managed Wetlands","MW4","Deep Percolation of Applied Water to Salt Sink",0
2011,"Urban","URB13","Deep Percolation of Applied Water to Salt Sink",29.6
2011,"Agriculture","AG7","Deep Percolation of Groundwater Recharge",1413.1
2011,"Managed Wetlands","MW5","Deep Percolation of Groundwater Recharge",0
2011,"Urban","URB14","Deep Percolation of Groundwater Recharge",477.7
