"Year","CategoryA","CategoryD","CategoryC","KAcreFt"
2015,"Agriculture","AG1","Applied Water",30529.6
2015,"Instream Flow Requirements","IFR1","Applied Water",5301.2
2015,"Managed Wetlands","MW1","Applied Water",1394.7
2015,"Required Delta Outflow","RDO1","Applied Water",3709.8
2015,"Wild and Scenic River","WSR1","Applied Water",14238
2015,"Urban","URB5","Applied Water - Commercial Use",1003
2015,"Urban","URB8","Applied Water - Energy Production",127
2015,"Urban","URB9","Applied Water - Groundwater",168.2
2015,"Agriculture","AG2","Applied Water - Groundwater Recharge",55.4
2015,"Urban","URB6","Applied Water - Industrial Use",341.4
2015,"Urban","URB4","Applied Water - Residential - Multi Family Exterior",351.7
2015,"Urban","URB3","Applied Water - Residential - Multi Family Interior",761.4
2015,"Urban","URB2","Applied Water - Residential - Single Family Exterior",1531.7
2015,"Urban","URB1","Applied Water - Residential - Single Family Interior",1685.12
2015,"Urban","URB7","Applied Water - Urban Large Landscape",706.6
2015,"Agriculture","AWUAG","Applied Water Use",30585
2015,"Instream Flow Requirements","AWUIFR","Applied Water Use",5301.2
2015,"Managed Wetlands","AWUMW","Applied Water Use",1394.7
2015,"Required Delta Outflow","AWURDO","Applied Water Use",3709.8
2015,"Urban","AWUURB","Applied Water Use",6676.12
2015,"Wild and Scenic River","AWUWSR","Applied Water Use",14238
2015,"Agriculture","AWUAGC","Conveyance Applied Water Use",1831.17
2015,"Managed Wetlands","AWUMWC","Conveyance Applied Water Use",91
2015,"Urban","AWUURBC","Conveyance Applied Water Use",310.9
2015,"Agriculture","AG22","Conveyance Deep Percolation",375.74
2015,"Managed Wetlands","MW20","Conveyance Deep Percolation",20.4
2015,"Urban","URB30","Conveyance Deep Percolation",118.5
2015,"Agriculture","AG18F","Conveyance Deep Percolation to Mexico",0
2015,"Managed Wetlands","MW16F","Conveyance Deep Percolation to Mexico",0
2015,"Urban","URB26F","Conveyance Deep Percolation to Mexico",0
2015,"Agriculture","AG18E","Conveyance Deep Percolation to Nevada",0
2015,"Managed Wetlands","MW16E","Conveyance Deep Percolation to Nevada",0
2015,"Urban","URB26E","Conveyance Deep Percolation to Nevada",0
2015,"Agriculture","AG18D","Conveyance Deep Percolation to Oregon",0
2015,"Managed Wetlands","MW16D","Conveyance Deep Percolation to Oregon",0
2015,"Urban","URB26D","Conveyance Deep Percolation to Oregon",0
2015,"Agriculture","AG23","Conveyance Deep Percolation to Salt Sink",5.8
2015,"Managed Wetlands","MW21","Conveyance Deep Percolation to Salt Sink",0
