"Year","CategoryA","CategoryD","CategoryC","KAcreFt"
2016,"Agriculture","AG1","Applied Water",30771.1
2016,"Instream Flow Requirements","IFR1","Applied Water",6301.3
2016,"Managed Wetlands","MW1","Applied Water",1397.8
2016,"Required Delta Outflow","RDO1","Applied Water",4810
2016,"Wild and Scenic River","WSR1","Applied Water",28588.6
2016,"Urban","URB5","Applied Water - Commercial Use",1242.66
2016,"Urban","URB8","Applied Water - Energy Production",137.1
2016,"Urban","URB9","Applied Water - Groundwater",390.5
2016,"Agriculture","AG2","Applied Water - Groundwater Recharge",142.6
2016,"Urban","URB6","Applied Water - Industrial Use",351.92
2016,"Urban","URB4","Applied Water - Residential - Multi Family Exterior",240.52
2016,"Urban","URB3","Applied Water - Residential - Multi Family Interior",767.08
2016,"Urban","URB2","Applied Water - Residential - Single Family Exterior",1142.62
2016,"Urban","URB1","Applied Water - Residential - Single Family Interior",1990.09
2016,"Urban","URB7","Applied Water - Urban Large Landscape",583.58
2016,"Agriculture","AWUAG","Applied Water Use",30913.7
2016,"Instream Flow Requirements","AWUIFR","Applied Water Use",6301.3
2016,"Managed Wetlands","AWUMW","Applied Water Use",1397.8
2016,"Required Delta Outflow","AWURDO","Applied Water Use",4810
2016,"Urban","AWUURB","Applied Water Use",6846.07
2016,"Wild and Scenic River","AWUWSR","Applied Water Use",28588.6
2016,"Agriculture","AWUAGC","Conveyance Applied Water Use",2328.5
2016,"Managed Wetlands","AWUMWC","Conveyance Applied Water Use",99.8
2016,"Urban","AWUURBC","Conveyance Applied Water Use",348.4
2016,"Agriculture","AG22","Conveyance Deep Percolation",605.7
2016,"Managed Wetlands","MW20","Conveyance Deep Percolation",19.9
2016,"Urban","URB30","Conveyance Deep Percolation",148
2016,"Agriculture","AG18F","Conveyance Deep Percolation to Mexico",0
2016,"Managed Wetlands","MW16F","Conveyance Deep Percolation to Mexico",0
2016,"Urban","URB26F","Conveyance Deep Percolation to Mexico",0
2016,"Agriculture","AG18E","Conveyance Deep Percolation to Nevada",0
2016,"Managed Wetlands","MW16E","Conveyance Deep Percolation to Nevada",0
2016,"Urban","URB26E","Conveyance Deep Percolation to Nevada",0
2016,"Agriculture","AG18D","Conveyance Deep Percolation to Oregon",0
2016,"Managed Wetlands","MW16D","Conveyance Deep Percolation to Oregon",0
2016,"Urban","URB26D","Conveyance Deep Percolation to Oregon",0
2016,"Agriculture","AG23","Conveyance Deep Percolation to Salt Sink",9.8
2016,"Managed Wetlands","MW21","Conveyance Deep Percolation to Salt Sink",0
2016,"Urban","URB31","Conveyance Deep Percolation to Salt Sink",4.2
2016,"Agriculture","DEPAGC","Conveyance Depletion",889.1
2016,"Managed Wetlands","DEPMWC","Conveyance Depletion",17.3
2016,"Urban","DEPURBC","Conveyance Depletion",187.9
2016,"Agriculture","AG17","Conveyance Evaporation and ETAW",852.4
2016,"Managed Wetlands","MW15","Conveyance Evaporation and ETAW",7.5
2016,"Urban","URB25","Conveyance Evaporation and ETAW",183.7
2016,"Agriculture","NW1AGC","Conveyance Net Water Use (Applied Water - Reuse)",1152.1
2016,"Managed Wetlands","NW1MWC","Conveyance Net Water Use (Applied Water - Reuse)",57.7
2016,"Urban","NW1URBC","Conveyance Net Water Use (Applied Water - Reuse)",194.6
