"Year","CategoryA","CategoryD","CategoryC","KAcreFt"
2019,"Agriculture","AG1","Applied Water",27511.5
2019,"Instream Flow Requirements","IFR1","Applied Water",7683.4
2019,"Managed Wetlands","MW1","Applied Water",1414.3
2019,"Required Delta Outflow","RDO1","Applied Water",8403
2019,"Wild and Scenic River","WSR1","Applied Water",33433.4
2019,"Urban","URB5","Applied Water - Commercial Use",1103.5
2019,"Urban","URB8","Applied Water - Energy Production",97.4
2019,"Urban","URB9","Applied Water - Groundwater",746
2019,"Agriculture","AG2","Applied Water - Groundwater Recharge",1166.94
2019,"Urban","URB6","Applied Water - Industrial Use",356.1
2019,"Urban","URB4","Applied Water - Residential - Multi Family Exterior",292.7
2019,"Urban","URB3","Applied Water - Residential - Multi Family Interior",779.9
2019,"Urban","URB2","Applied Water - Residential - Single Family Exterior",1614.9
2019,"Urban","URB1","Applied Water - Residential - Single Family Interior",1994.7
2019,"Urban","URB7","Applied Water - Urban Large Landscape",613.1
2019,"Agriculture","AWUAG","Applied Water Use",28678.44
2019,"Instream Flow Requirements","AWUIFR","Applied Water Use",7683.4
2019,"Managed Wetlands","AWUMW","Applied Water Use",1414.3
2019,"Required Delta Outflow","AWURDO","Applied Water Use",8403
2019,"Urban","AWUURB","Applied Water Use",7598.3
2019,"Wild and Scenic River","AWUWSR","Applied Water Use",33433.4
2019,"Agriculture","AWUAGC","Conveyance Applied Water Use",2937
2019,"Managed Wetlands","AWUMWC","Conveyance Applied Water Use",105.4
2019,"Urban","AWUURBC","Conveyance Applied Water Use",326.6
2019,"Agriculture","AG22","Conveyance Deep Percolation",857.9
2019,"Managed Wetlands","MW20","Conveyance Deep Percolation",21.9
2019,"Urban","URB30","Conveyance Deep Percolation",108.1
2019,"Agriculture","AG18F","Conveyance Deep Percolation to Mexico",0
2019,"Managed Wetlands","MW16F","Conveyance Deep Percolation to Mexico",0
2019,"Urban","URB26F","Conveyance Deep Percolation to Mexico",0
2019,"Agriculture","AG18E","Conveyance Deep Percolation to Nevada",0
2019,"Managed Wetlands","MW16E","Conveyance Deep Percolation to Nevada",0
2019,"Urban","URB26E","Conveyance Deep Percolation to Nevada",0
2019,"Agriculture","AG18D","Conveyance Deep Percolation to Oregon",0
2019,"Managed Wetlands","MW16D","Conveyance Deep Percolation to Oregon",0
2019,"Urban","URB26D","Conveyance Deep Percolation to Oregon",0
2019,"Agriculture","AG23","Conveyance Deep Percolation to Salt Sink",5.7
2019,"Managed Wetlands","MW21","Conveyance Deep Percolation to Salt Sink",0
2019,"Urban","URB31","Conveyance Deep Percolation to Salt Sink",1.4
2019,"Agriculture","DEPAGC","Conveyance Depletion",1059.8
2019,"Managed Wetlands","DEPMWC","Conveyance Depletion",23.2
2019,"Urban","DEPURBC","Conveyance Depletion",208.1
2019,"Agriculture","AG17","Conveyance Evaporation and ETAW",1014.1
2019,"Managed Wetlands","MW15","Conveyance Evaporation and ETAW",9.9
2019,"Urban","URB25","Conveyance Evaporation and ETAW",205.1
2019,"Agriculture","NW1AGC","Conveyance Net Water Use (Applied Water - Reuse)",1551.6
