"Year","CategoryA","CategoryD","CategoryC","KAcreFt"
2020,"Agriculture","AG1","Applied Water",29240.23
2020,"Instream Flow Requirements","IFR1","Applied Water",6437.6
2020,"Managed Wetlands","MW1","Applied Water",1540.4
2020,"Required Delta Outflow","RDO1","Applied Water",4430.5
2020,"Wild and Scenic River","WSR1","Applied Water",11394
2020,"Urban","URB5","Applied Water - Commercial Use",1120.4
2020,"Urban","URB8","Applied Water - Energy Production",119.1
2020,"Urban","URB9","Applied Water - Groundwater",351.9
2020,"Agriculture","AG2","Applied Water - Groundwater Recharge",502.3
2020,"Urban","URB6","Applied Water - Industrial Use",363.7
2020,"Urban","URB4","Applied Water - Residential - Multi Family Exterior",323.2
2020,"Urban","URB3","Applied Water - Residential - Multi Family Interior",846.4
2020,"Urban","URB2","Applied Water - Residential - Single Family Exterior",1556.4
2020,"Urban","URB1","Applied Water - Residential - Single Family Interior",2201.6
2020,"Urban","URB7","Applied Water - Urban Large Landscape",810
2020,"Agriculture","AWUAG","Applied Water Use",29742.53
2020,"Instream Flow Requirements","AWUIFR","Applied Water Use",6437.6
2020,"Managed Wetlands","AWUMW","Applied Water Use",1540.4
2020,"Required Delta Outflow","AWURDO","Applied Water Use",4430.5
2020,"Urban","AWUURB","Applied Water Use",7692.7
2020,"Wild and Scenic River","AWUWSR","Applied Water Use",11394
2020,"Agriculture","AWUAGC","Conveyance Applied Water Use",2671.2
2020,"Managed Wetlands","AWUMWC","Conveyance Applied Water Use",116.6
2020,"Urban","AWUURBC","Conveyance Applied Water Use",328.9
2020,"Agriculture","AG22","Conveyance Deep Percolation",710
2020,"Managed Wetlands","MW20","Conveyance Deep Percolation",23.5
2020,"Urban","URB30","Conveyance Deep Percolation",114.3
2020,"Agriculture","AG18F","Conveyance Deep Percolation to Mexico",0
2020,"Managed Wetlands","MW16F","Conveyance Deep Percolation to Mexico",0
2020,"Urban","URB26F","Conveyance Deep Percolation to Mexico",0
2020,"Agriculture","AG18E","Conveyance Deep Percolation to Nevada",0
2020,"Managed Wetlands","MW16E","Conveyance Deep Percolation to Nevada",0
2020,"Urban","URB26E","Conveyance Deep Percolation to Nevada",0
2020,"Agriculture","AG18D","Conveyance Deep Percolation to Oregon",0
2020,"Managed Wetlands","MW16D","Conveyance Deep Percolation to Oregon",0
2020,"Urban","URB26D","Conveyance Deep Percolation to Oregon",0
2020,"Agriculture","AG23","Conveyance Deep Percolation to Salt Sink",5.8
2020,"Managed Wetlands","MW21","Conveyance Deep Percolation to Salt Sink",0
2020,"Urban","URB31","Conveyance Deep Percolation to Salt Sink",2.9
2020,"Agriculture","DEPAGC","Conveyance Depletion",882.2
2020,"Managed Wetlands","DEPMWC","Conveyance Depletion",24.5
2020,"Urban","DEPURBC","Conveyance Depletion",205.7
2020,"Agriculture","AG17","Conveyance Evaporation and ETAW",864.6
2020,"Managed Wetlands","MW15","Conveyance Evaporation and ETAW",11.2
2020,"Urban","URB25","Conveyance Evaporation and ETAW",201.2
2020,"Agriculture","NW1AGC","Conveyance Net Water Use (Applied Water - Reuse)",1408.1
2020,"Managed Wetlands","NW1MWC","Conveyance Net Water Use (Applied Water - Reuse)",59.1
2020,"Urban","NW1URBC","Conveyance Net Water Use (Applied Water - Reuse)",208.4
2020,"Agriculture","NW2AGC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",1408.1
2020,"Managed Wetlands","NW2MWC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",59.1
2020,"Urban","NW2URBC","Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)",208.4
2020,"Agriculture","AG19B","Conveyance Return Flow for Delta Outflow",0
2020,"Managed Wetlands","MW17B","Conveyance Return Flow for Delta Outflow",0
2020,"Urban","URB27B","Conveyance Return Flow for Delta Outflow",0
2020,"Agriculture","AG20A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",139.8
2020,"Managed Wetlands","MW18A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",18.6
2020,"Urban","URB28A","Conveyance Return Flow to Developed Supply (Other DAUCO within PA)",0
2020,"Agriculture","AG20B","Conveyance Return Flow to Developed Supply (Other PA)",386.1
2020,"Managed Wetlands","MW18B","Conveyance Return Flow to Developed Supply (Other PA)",16
2020,"Urban","URB28B","Conveyance Return Flow to Developed Supply (Other PA)",1.2
