raw_agency,username,pws_id
antelope valley-east kern wa,Antelope Valley - East Kern Water Agency,1910045
"redding, city of",Redding  City Of,4510005
castaic lake wa,Castaic Lake Water Agency,1910048
"fresno, city of",Fresno  City Of,1010007
"madera, cty of",Madera  City Of,2010002
santa barbara cty fcwcd,Santa Barbara  City Of,4210010
"coalinga, city of",Coalinga  City Of,1010004
contra costa wd,Contra Costa Water District,710003
"huron, city of",Huron  City Of,1010044
western mwd,Western Municipal Water District,3310049
centerville csd,Centerville Community Services District,4510011
"tracy, city of",Tracy  City Of,3910011
pg&e,PG&E HELMS SUPPORT FACILITY,1000472
mwdsc,METROPOLITAN WATER DISTRICT,
santa clara valley wd,Santa Clara Valley Water District,4310027
"lindsay, city of",Lindsay  City Of,5410006
nipomo csd,Nipomo Community Service District,4010026
eastern mwd,Eastern Municipal Water District,3310009
"san diego, city of",San Diego  City Of,3710020
"whittier, city of",Whittier  City Of,1910173
chevron usa,Chevron Oil Field Water System,2701171
"hawthorne, city of",Hawthorne  City Of,1910047
"redding, city of (city council, dir. of pub. wks.)",Redding  City Of,4510005
tesoro refining and marketing,Golden Eagle Refinery (TESOR0),707625
san luis obispo cty fcwcd,San Luis Obispo County Flood Control And Water Conservation,4010009
sacramento suburban wd,Sacramento Suburban Water District,3410001
"butte, cty of",Butte City Community Service District,1100711
crestline-lake arrowhead wa,Crestline - Lake Arrowhead Water Agency,3610005
san bernardino valley mwd,San Bernardino Valley Municipal Water District,3610019
mojave wa,Mojave Water Agency,
vandenberg air force base,US Air Force  Vandenberg Air Force Base,"	
3110003"
foresthill pud,Foresthill Public Utilities District,
"redding, city of (buckeye)",Redding  City Of,4510005
"redding, city of (sac river)",Redding  City Of,4510005
santa clarita valley wa,Santa Clarita Water Company,1910017
carmichael wd,Carmichael Water District,3410004
el dorado id,El Dorado Irrigation District - Main,910001
"sacramento, city of",Sacramento  City Of,3410020
san juan wd,San Juan Water District,3410021
"orange cove, city of",Orange Cove  City Of,1010023
"west sacramento, city of",West Sacramento  City Of,5710003
ventura cty wpd,VENTURA CO WATERWORKS DIST #1,5610018
"avenal, city of",Avenal City Of,1610002
"sand city, city of",Del Monte Farms Road Water System No 03,2700541
cucamonga valley wd,CUCAMONGA VALLEY WATER DISTRICT,3610018
palmdale wd,Palmdale Water District,1910102
sacramento mud,Sacramento Municipal Utility District,
"santa barbara, city of",Santa Barbara  City Of,4210010
"santa monica, city of",Santa Monica City of,4210010
montecito wd,Montecito Water District,4210007
